"year","zone","destination","method","mean"
"2009","S01001793","Post Office","Public Transport","5.7"
"2006","S01001793","Post Office","Public Transport","6.4"
"2012","S01001793","Shopping Facilities","Public Transport","5.6"
"2009","S01001793","Shopping Facilities","Public Transport","5.9"
"2006","S01001793","Shopping Facilities","Public Transport","4.7"
"2009","S01001793","Banks And Building Societies","Public Transport","6.6"
"2007","S01001794","General Store","Car",12
"2012","S01001794","Post Office","Car","2.8"
"2006","S01001794","Primary School","Car","1.9"
"2007","S01001794","Primary School","Car",2
"2009","S01001794","Primary School","Car","0.6"
"2012","S01001794","Primary School","Car","4.4"
"2003","S01001794","Primary School","Car","3.1"
"2012","S01001794","Secondary School","Car",2
"2007","S01001794","Secondary School","Car","2.3"
"2006","S01001794","Secondary School","Car","2.3"
"2009","S01001794","Secondary School","Car","0.9"
"2007","S01001794","Bank Or Building Society","Car","1.1"
"2012","S01001794","Shopping Facilities","Car","2.7"
"2003","S01001794","GP","Car","6.1"
"2007","S01001794","Citizens Advice Bureau","Car","21.4"
"2007","S01001794","Shopping Facilities","Car","1.3"
"2006","S01001794","Shopping Facilities","Car","1.3"
"2009","S01001794","Shopping Facilities","Car","0.5"
"2003","S01001794","Supermarket","Car","1.5"
"2006","S01001794","GP","Car",6
"2012","S01001794","GP","Car",6
"2007","S01001794","GP","Car",6
"2009","S01001794","Citizens Advice Bureau","Car","7.6"
"2007","S01001794","Cash Machine","Car","1.1"
"2009","S01001794","GP","Car","2.4"
"2007","S01001794","Higher Education Establishment","Car","10.7"
"2009","S01001794","Chemists And Pharmacies","Car","0.5"
"2009","S01001794","Higher Education Establishment","Car",5
"2009","S01001794","Jobcentre Plus","Car","5.3"
"2009","S01001794","Cash Machine","Car","0.4"
"2007","S01001794","Jobcentre Plus","Car","13.1"
"2009","S01001794","Library","Car","0.5"
"2007","S01001794","Library","Car","1.3"
"2007","S01001794","Chemists And Pharmacies","Car","1.7"
"2007","S01001794","Nursery","Car","1.2"
"2007","S01001794","Further Education Establishment","Car","15.8"
"2009","S01001794","Nursery","Car","0.4"
"2003","S01001794","Petrol Station","Car","8.2"
"2007","S01001794","Petrol Station","Car","0.9"
"2009","S01001794","Petrol Station","Car","0.3"
"2012","S01001794","Petrol Station","Car","1.8"
"2006","S01001794","Petrol Station","Car","0.9"
"2009","S01001794","Further Education Establishment","Car","2.5"
"2009","S01001794","Police Station","Car","0.6"
"2007","S01001794","Police Station","Car","1.3"
"2009","S01001794","Post Office","Car","0.5"
"2007","S01001794","Post Office","Car","1.7"
"2006","S01001794","Post Office","Car","1.7"
"2009","S01001794","Bank Or Building Society","Car","0.5"
"2009","S01001794","General Store","Car","4.8"
